employee_id,employee_job_group,employee_job_level,employee_job_title,employee_gender,employee_race,employee_compensation,employee_years_of_experience,employee_time_in_role,employee_geo_zone,employee_city,employee_state,geo_zone_cost_of_living_factor,company_name,company_headquarters_city,company_headquarters_state,company_sector,company_signed_syndio_contract_on,data_uploaded_on
1929,Buyers,Director,Director Procurement,male,two or more,116818.8377,17.56620742,4.3275674,Geo Zone 2,Chicago,IL,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
2055,Buyers,Director,Director Procurement,male,white,163689.9395,21.24765253,18.45927,Geo Zone 2,Chicago,IL,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
2058,Buyers,Director,Director Procurement,male,hispanic,173677.5707,18.98184995,18.98185,Geo Zone 2,Chicago,IL,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
2061,Buyers,Director,Director Procurement,male,white,179166.7142,21.1097328,21.109733,Geo Zone 2,Chicago,IL,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
2062,Buyers,Director,Director Procurement,female,white,180452.2972,20.9749051,20.974905,Geo Zone 2,Chicago,IL,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
2063,Buyers,Director,Director Procurement,female,white,181210.1563,20.88150255,20.881503,Geo Zone 2,Austin,TX,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
2066,Buyers,Director,Director Procurement,female,white,193115.8562,27.17240437,27.172404,Geo Zone 2,Austin,TX,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
1705,Buyers,Individual Contributor,Assistant Buyer I,female,white,64501.87632,6.920634369,1.0888768,Geo Zone 2,Chicago,IL,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
1706,Buyers,Individual Contributor,Assistant Buyer I,female,white,66718.67069,5.083951857,0.1850413,Geo Zone 2,Chicago,IL,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
1707,Buyers,Individual Contributor,Assistant Buyer I,female,black,68280.57466,8.319222214,0.5339987,Geo Zone 2,Chicago,IL,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
1708,Buyers,Individual Contributor,Assistant Buyer I,female,white,68445.00669,16.209997,1.2080277,Geo Zone 2,Chicago,IL,0.9,Company C,Chicago,IL,Financial Services,2020-11-20,2021-01-04
